"","date","AT","BE","BG","CH","CZ","DE","DK","EE","ES","FI","FR","GR","HR","HU","IE","IT","LV","NL","NO","PL","PT","RO","SE","SI","SK"
"567",2016-07-20,6904.875,9203.54166666667,3865,6456.39583333333,6980.70333333333,58226.1666666667,3209.94125,779.745833333333,32401,7907.76666666667,49495.125,6447.08333333333,2085.79166666667,4720.20833333333,3002.16666666667,39569.25,746.875,13686.5833333333,10853.34,18389.04375,6056.86666666667,6335.66666666667,11649.75,1515.23875,3075.16666666667
"568",2016-07-21,6978.08333333333,8117.5,3949,7074.48458333333,7008.36458333333,57672.7083333333,3176.13333333333,779.2875,32311.625,7919.0125,49124.5833333333,6817.125,2143,4766.54166666667,3001.25,40172.9166666667,759.75,13589.8333333333,10867.3670833333,18509.42,6009.6875,6510.625,11491.875,1535.61166666667,3088.16666666667
"569",2016-07-22,6801.29166666667,8620.66666666667,4008.375,6800.33875,6839.41583333333,56187.8333333333,3171.96958333333,779.054166666667,31346.6666666667,8098.40416666667,47712.3333333333,7035.5,2169.91666666667,4784.58333333333,2937.875,39569.8333333333,751.625,13371.5,10800.5320833333,18558.5820833333,5959.6875,6559.41666666667,11410.8333333333,1521.78,3077.91666666667
"570",2016-07-23,5842.95833333333,8091.91666666667,3801.04166666667,5915.57625,5880.62458333333,47087.2083333333,2866.6475,686.254166666667,27383,7644.04166666667,41783.2083333333,6692.58333333333,2064.58333333333,4348.04166666667,2696.25,32178.7916666667,681.119047619048,11433,10259.5695833333,16683.6904166667,5318.2375,6170,10948.75,1340.39833333333,2834.20833333333
"571",2016-07-24,5332.70833333333,7756.45833333333,3751.20833333333,5699.165,5784.44708333333,43184.875,2835.61375,674.070833333333,25346.25,7462.725,39343.5833333333,6375.16666666667,1966.29166666667,4118.79166666667,2537.375,27361.375,664.85,10788.0416666667,10050.2295833333,15194.3520833333,5001.875,5641.125,10395.625,1260.0175,2736.875
"572",2016-07-25,6792.58333333333,8852.33333333333,4112.91666666667,6612.07208333333,6863.61083333333,56167.3333333333,3235.675,781.3125,29667.3333333333,8076.575,46908.4583333333,7113.375,2156.16666666667,4670.875,2866.66666666667,37581.25,782.979166666667,12951.375,10836.6225,18582.7866666667,6147.8625,6688.08333333333,11538.6666666667,1442.11041666667,3075.95833333333
"573",2016-07-26,6769.54166666667,8832.25,4112.54166666667,6818.30958333333,6948.11416666667,56837.9166666667,3169.2775,798.604166666667,32264.0833333333,8025.75833333333,47361.0833333333,7102.54166666667,2184.375,4718.875,2936.58333333333,39513.2916666667,768.7,12841.6666666667,10795.0933333333,19045.5758333333,6211.675,6838.375,11146.375,1444.38375,3111.04166666667
"574",2016-07-27,6847.29166666667,8779.41666666667,4121.45833333333,6864.1725,6907.91875,56541.8333333333,3187.94666666667,802.833333333333,32273.125,8073.2,47380.125,7034.08333333333,2217.29166666667,4773.875,2909.20833333333,39367.9166666667,807.229166666667,12884.375,10929.4670833333,19061.74125,6155.45833333333,6817.29166666667,11327.0833333333,1434.70291666667,3127.875
"575",2016-07-28,6754.66666666667,8853.20833333333,4115.625,6691.92416666667,6880.93083333333,56089.4583333333,3217.72375,798.604166666667,32272.875,8059.58333333333,47241,7164.79166666667,2180.83333333333,4687.625,2940.91666666667,38437.875,806.857142857143,12913.4166666667,11021.7004166667,18936.3616666667,6206.85833333333,6911.58708333333,11344.9166666667,1406.09583333333,3108.58333333333
"576",2016-07-29,6533.625,8791.91666666667,4113.33333333333,6578.23875,6617.68625,54693.1666666667,3208.43708333333,783.379166666667,31991.2916666667,8159.0375,46274.0416666667,7225.75,2152.83333333333,4642.20833333333,2885,38283.3333333333,766.75,12573.25,11070.13625,18658.0833333333,6130.36666666667,6825.70833333333,11380.9583333333,1355.43125,3061.29166666667
"577",2016-07-30,5694.04166666667,8134.08333333333,3890.91666666667,6068.23333333333,5832.3875,46388.0833333333,2866.25541666667,685.520833333333,28514.5,7639.55,41356.7083333333,6977,2064.625,4253.625,2633.54166666667,32125.3333333333,673.083333333333,10970.1666666667,10476.9741666667,16592.4620833333,5178.40833333333,6283.625,10438.4166666667,1233.69958333333,2793.41666666667
"578",2016-07-31,5295.875,7751.25,3845.58333333333,5893.57416666667,5711.29625,42489.4583333333,2805.51458333333,672.320833333333,26124.0416666667,7386.16666666667,38129.5416666667,6472.375,1988.41666666667,4063.95833333333,2494.66666666667,27553.75,653.583333333333,10248.2083333333,10305.64,15206.66375,4753.2375,5779.41666666667,10253.5833333333,1157.87958333333,2711.20833333333
"579",2016-08-01,6388.875,8733.66666666667,4163.79166666667,5091.27708333333,6522.27791666667,53626.5,3235.62583333333,789.683333333333,30524.9166666667,8171.84166666667,43000.0833333333,7452.875,2028,4521.33333333333,2531,35309.875,761.958333333333,12072.2083333333,11257.9866666667,17731.4058333333,5614.3125,6679.33333333333,11418.875,1295.30375,3021
"580",2016-08-02,6388.54166666667,9065.875,4083.95833333333,5887.84833333333,6572.93,55445.5833333333,3325.67166666667,802.904166666667,31129.4583333333,8249.28333333333,43779.6666666667,7554.08333333333,2006.33333333333,4558.16666666667,2879.83333333333,35797.1666666667,754.541666666667,12450.125,11460.3295833333,18071.19,5775.34583333333,6648,11434.75,1271.75833333333,3057.20833333333
"581",2016-08-03,6508.45833333333,9151.29166666667,4025.375,6115.99375,6622.27666666667,56319.75,3402.42166666667,808.358333333333,31448.2083333333,8081.91666666667,44299.7083333333,7254.5,2033.75,4604.625,2853.08333333333,35815.2916666667,766.125,12624.1666666667,11415.3654166667,18313.4220833333,5781.73333333333,6520.33333333333,11723.4583333333,1291.18833333333,3054.08333333333
"582",2016-08-04,6626.375,8905.875,4122.5,6076.19541666667,6729.65375,56144.0833333333,3372.89833333333,812.970833333333,31390.0833333333,8223.96666666667,44295.7916666667,7137.58333333333,2075.70833333333,4754.75,2921.75,35786.25,775.416666666667,12296.875,11403.0825,18805.8320833333,5772.44166666667,6580.875,11870.625,1305.37666666667,3114.70833333333
"583",2016-08-05,6697.79166666667,8945.08333333333,4122.41666666667,6111.84625,6512.54791666667,53937.0416666667,3255.98166666667,813.770833333333,30409.6666666667,8338.4375,42367.75,7160.75,1904.41666666667,4803.25,2903.375,33518.875,785.708333333333,12041.1666666667,11287.6558333333,18814.6929166667,5795.7,6651,11554.2083333333,1309.76083333333,3090.79166666667
"584",2016-08-06,5659.45833333333,8155.58333333333,3913.33333333333,5701.21083333333,5651.14041666667,45335.75,2846.15708333333,706.85,26948.1666666667,7782.37916666667,38941.7916666667,6808.41666666667,1777,4151.58333333333,2672.66666666667,27119.625,684.5,10690.125,10759.7566666667,16312.6645833333,5336.54583333333,5988.375,10590.375,1162.92041666667,2785.58333333333
"585",2016-08-07,5170.29166666667,7786.66666666667,3747.25,5414.12416666667,5626.05666666667,42028.125,2937.77958333333,686.520833333333,24945.7916666667,7580.49583333333,37259.0833333333,6262.83333333333,1709.66666666667,3896.45833333333,2542.29166666667,23975.125,641.666666666667,10358.625,10732.5133333333,14506.8516666667,5101.45,5593.54166666667,10657.5416666667,1074.48791666667,2681.95833333333
"586",2016-08-08,6500.45833333333,9049.875,3973.58333333333,6085.24583333333,6794.32083333333,54890.625,3492.79166666667,820.570833333333,29495.7916666667,8248.28333333333,42139.2916666667,6700.33333333333,1929.08333333333,4474.41666666667,2852.41666666667,28377.375,768.583333333333,12034,11645.0120833333,17987.13125,5914.575,6348.08333333333,12169.1666666667,1274.35,3039.16666666667
"587",2016-08-09,6803.875,9186.70833333333,3974.45833333333,6227.0025,6847.08833333333,54890.6666666667,3506.4025,839.808333333333,29634.2916666667,8449.55833333333,42339.6666666667,6424.91666666667,1978.625,4600.54166666667,2931.04166666667,29313.9583333333,776.75,11917.0833333333,12061.2145833333,18386.37875,5936.9,6443.5,12592.2916666667,1321.50916666667,3103.29166666667
"588",2016-08-10,6801.875,9277.58333333333,4034.75,6109.93958333333,6846.12666666667,54714.7083333333,3627.39458333333,837.391666666667,28435.9166666667,8547.38333333333,41699.0833333333,6579.16666666667,1943.25,4570.91666666667,2992.5,28537.6666666667,763.291666666667,11765.625,12450.0116666667,18286.16375,5819.2375,6499.04166666667,12825.5,1353.56916666667,3121.04166666667
